Promotion ID,Product,Promotion Type,Start Date,End Date,Regions Targeted,Success Rate (%)
P0871,Mocha,Bundle,2/6/2024,2/7/2024,West,29.74
P0872,Latte,BOGO,2/6/2024,2/7/2024,West,70.37
P0873,Mocha,Discount,2/6/2024,2/7/2024,West,74.28
P0874,Espresso,BOGO,2/6/2024,2/7/2024,North,77.07
P0875,Cappuccino,BOGO,2/6/2024,2/7/2024,South,19.22
P0876,Cappuccino,Bundle,2/6/2024,2/7/2024,West,51.82
P0877,Cappuccino,Free Sample,2/6/2024,2/7/2024,North,43.92
P0878,Cappuccino,Free Sample,2/6/2024,2/7/2024,North,32.41
P0879,Latte,BOGO,2/6/2024,2/7/2024,North,69.2
P0880,Espresso,BOGO,2/6/2024,2/7/2024,South,56.96
P0881,Latte,BOGO,2/6/2024,2/7/2024,South,85.81
P0882,Latte,Free Sample,2/6/2024,2/7/2024,West,31.21
P0883,Mocha,Bundle,2/6/2024,2/7/2024,North,63.3
P0884,Espresso,Discount,2/6/2024,2/7/2024,North,36.45
P0885,Cappuccino,BOGO,2/6/2024,2/7/2024,East,35.78
P0886,Mocha,Free Sample,2/6/2024,2/7/2024,North,41.18
P0887,Espresso,Bundle,2/6/2024,2/7/2024,West,38.45
P0888,Espresso,Free Sample,2/6/2024,2/7/2024,West,40.8
P0889,Espresso,Bundle,2/7/2024,2/8/2024,West,52.34
P0890,Cappuccino,Discount,2/7/2024,2/8/2024,West,84.27
P0891,Latte,Bundle,2/7/2024,2/8/2024,North,18.13
P0892,Espresso,BOGO,2/7/2024,2/8/2024,North,70.88
P0893,Cappuccino,Bundle,2/7/2024,2/8/2024,West,63.97
P0894,Cappuccino,Free Sample,2/7/2024,2/8/2024,South,13.24
P0895,Mocha,Discount,2/7/2024,2/8/2024,West,45.56
P0896,Espresso,Bundle,2/7/2024,2/8/2024,East,53.28
P0897,Latte,BOGO,2/7/2024,2/8/2024,East,40.34
P0898,Mocha,Bundle,2/7/2024,2/8/2024,South,40.78
P0899,Espresso,BOGO,2/7/2024,2/8/2024,North,59.05
P0900,Cappuccino,Bundle,2/7/2024,2/8/2024,East,43.14
P0901,Cappuccino,Bundle,2/7/2024,2/8/2024,South,39.88
P0902,Mocha,Bundle,2/7/2024,2/8/2024,South,60.04
P0903,Mocha,Bundle,2/7/2024,2/8/2024,East,60.06
P0904,Espresso,BOGO,2/7/2024,2/8/2024,East,51.93
P0905,Espresso,Bundle,2/7/2024,2/8/2024,West,44.32
P0906,Espresso,BOGO,2/7/2024,2/8/2024,North,36.29
P0907,Latte,Bundle,2/7/2024,2/8/2024,West,25.62
P0908,Espresso,Bundle,2/7/2024,2/8/2024,East,27.12
P0909,Espresso,Discount,2/7/2024,2/8/2024,East,66.68
P0910,Latte,Discount,2/7/2024,2/8/2024,East,48.7
P0911,Espresso,BOGO,2/7/2024,2/8/2024,West,78.4
P0912,Mocha,Free Sample,2/7/2024,2/8/2024,West,42.5
P0913,Espresso,Bundle,2/8/2024,2/9/2024,West,37.01
P0914,Mocha,Discount,2/8/2024,2/9/2024,South,51.37
P0915,Cappuccino,Free Sample,2/8/2024,2/9/2024,North,84.23
P0916,Latte,Free Sample,2/8/2024,2/9/2024,South,78.7
P0917,Mocha,Free Sample,2/8/2024,2/9/2024,West,63.0
P0918,Cappuccino,Bundle,2/8/2024,2/9/2024,North,22.88
P0919,Mocha,Free Sample,2/8/2024,2/9/2024,North,63.68
P0920,Latte,Discount,2/8/2024,2/9/2024,North,46.93
P0921,Mocha,Bundle,2/8/2024,2/9/2024,South,13.45
P0922,Mocha,Free Sample,2/8/2024,2/9/2024,West,51.35
P0923,Espresso,Free Sample,2/8/2024,2/9/2024,North,30.99
P0924,Espresso,Free Sample,2/8/2024,2/9/2024,West,78.58
P0925,Cappuccino,Bundle,2/8/2024,2/9/2024,North,44.21
P0926,Latte,Free Sample,2/8/2024,2/9/2024,South,62.66
P0927,Espresso,Discount,2/8/2024,2/9/2024,West,51.88
P0928,Cappuccino,Discount,2/8/2024,2/9/2024,East,14.5
P0929,Cappuccino,Free Sample,2/8/2024,2/9/2024,East,58.33
P0930,Cappuccino,Discount,2/8/2024,2/9/2024,East,47.2
P0931,Latte,Free Sample,2/8/2024,2/9/2024,North,26.19
P0932,Mocha,BOGO,2/8/2024,2/9/2024,West,41.65
P0933,Espresso,BOGO,2/8/2024,2/9/2024,East,85.6
P0934,Espresso,Discount,2/8/2024,2/9/2024,South,52.73
P0935,Cappuccino,Discount,2/8/2024,2/9/2024,North,40.25
P0936,Mocha,Discount,2/8/2024,2/9/2024,South,64.63
P0937,Cappuccino,Free Sample,2/9/2024,2/10/2024,North,10.18
P0938,Latte,BOGO,2/9/2024,2/10/2024,North,34.12
P0939,Mocha,Bundle,2/9/2024,2/10/2024,North,74.74
P0940,Mocha,Bundle,2/9/2024,2/10/2024,East,39.15
P0941,Latte,Bundle,2/9/2024,2/10/2024,South,23.69
P0942,Mocha,Bundle,2/9/2024,2/10/2024,East,69.52
P0943,Mocha,BOGO,2/9/2024,2/10/2024,North,30.08
P0944,Mocha,Free Sample,2/9/2024,2/10/2024,East,72.07
P0945,Espresso,BOGO,2/9/2024,2/10/2024,West,84.39
P0946,Cappuccino,Free Sample,2/9/2024,2/10/2024,West,74.7
P0947,Espresso,Bundle,2/9/2024,2/10/2024,East,64.69
P0948,Espresso,Bundle,2/9/2024,2/10/2024,East,86.74
P0949,Espresso,Free Sample,2/9/2024,2/10/2024,East,31.97
P0950,Cappuccino,Free Sample,2/9/2024,2/10/2024,South,74.07
P0951,Mocha,Discount,2/9/2024,2/10/2024,East,85.68
P0952,Espresso,Bundle,2/9/2024,2/10/2024,South,51.36
P0953,Espresso,BOGO,2/9/2024,2/10/2024,East,62.71
P0954,Cappuccino,Bundle,2/9/2024,2/10/2024,North,71.02
P0955,Espresso,Discount,2/9/2024,2/10/2024,South,66.22
P0956,Cappuccino,Bundle,2/9/2024,2/10/2024,North,83.23
P0957,Mocha,BOGO,2/9/2024,2/10/2024,West,53.26
P0958,Mocha,Bundle,2/9/2024,2/10/2024,East,43.93
P0959,Cappuccino,Bundle,2/9/2024,2/10/2024,West,83.14
P0960,Cappuccino,BOGO,2/9/2024,2/10/2024,East,15.23
P0961,Espresso,Free Sample,2/10/2024,2/11/2024,East,68.68
P0962,Mocha,BOGO,2/10/2024,2/11/2024,South,75.75
P0963,Latte,Bundle,2/10/2024,2/11/2024,West,11.66
P0964,Mocha,Bundle,2/10/2024,2/11/2024,South,66.53
P0965,Latte,Free Sample,2/10/2024,2/11/2024,East,28.27
P0966,Cappuccino,Bundle,2/10/2024,2/11/2024,North,67.85
P0967,Espresso,Free Sample,2/10/2024,2/11/2024,North,43.79
P0968,Mocha,Discount,2/10/2024,2/11/2024,East,80.7
P0969,Cappuccino,Free Sample,2/10/2024,2/11/2024,West,88.05
P0970,Mocha,Free Sample,2/10/2024,2/11/2024,West,41.47
P0971,Latte,BOGO,2/10/2024,2/11/2024,South,88.66
P0972,Cappuccino,Discount,2/10/2024,2/11/2024,East,11.72
P0973,Mocha,Discount,2/10/2024,2/11/2024,North,74.79
P0974,Cappuccino,Discount,2/10/2024,2/11/2024,West,41.62
P0975,Espresso,BOGO,2/10/2024,2/11/2024,South,40.42
P0976,Cappuccino,Free Sample,2/10/2024,2/11/2024,East,18.57
P0977,Espresso,Discount,2/10/2024,2/11/2024,North,52.2
P0978,Latte,Bundle,2/10/2024,2/11/2024,East,31.06
P0979,Espresso,Free Sample,2/10/2024,2/11/2024,West,45.41
P0980,Mocha,Discount,2/10/2024,2/11/2024,North,11.76
P0981,Mocha,BOGO,2/10/2024,2/11/2024,West,79.76
P0982,Latte,BOGO,2/10/2024,2/11/2024,South,17.98
P0983,Latte,Bundle,2/10/2024,2/11/2024,South,68.05
P0984,Cappuccino,Discount,2/10/2024,2/11/2024,West,15.86
P0985,Espresso,Discount,2/11/2024,2/12/2024,West,75.05
P0986,Cappuccino,Free Sample,2/11/2024,2/12/2024,East,88.73
P0987,Mocha,Bundle,2/11/2024,2/12/2024,East,30.37
P0988,Espresso,BOGO,2/11/2024,2/12/2024,North,25.53
P0989,Latte,BOGO,2/11/2024,2/12/2024,North,60.7
P0990,Espresso,Free Sample,2/11/2024,2/12/2024,East,89.21
P0991,Cappuccino,Discount,2/11/2024,2/12/2024,South,54.0
P0992,Cappuccino,Bundle,2/11/2024,2/12/2024,South,69.83
P0993,Mocha,Bundle,2/11/2024,2/12/2024,North,36.03
P0994,Cappuccino,Bundle,2/11/2024,2/12/2024,West,66.84
P0995,Latte,Free Sample,2/11/2024,2/12/2024,South,80.31
P0996,Mocha,Bundle,2/11/2024,2/12/2024,South,14.88
P0997,Mocha,BOGO,2/11/2024,2/12/2024,East,24.7
P0998,Espresso,Free Sample,2/11/2024,2/12/2024,East,35.32
P0999,Espresso,Discount,2/11/2024,2/12/2024,East,80.09
P1000,Mocha,Discount,2/11/2024,2/12/2024,North,40.97
P1001,Latte,Free Sample,2/11/2024,2/12/2024,North,12.58
P1002,Latte,Free Sample,2/11/2024,2/12/2024,South,23.68
P1003,Latte,BOGO,2/11/2024,2/12/2024,South,65.15
P1004,Mocha,BOGO,2/11/2024,2/12/2024,East,20.15
P1005,Espresso,BOGO,2/11/2024,2/12/2024,West,65.06
P1006,Mocha,Bundle,2/11/2024,2/12/2024,East,37.89
P1007,Espresso,Discount,2/11/2024,2/12/2024,West,61.4
P1008,Cappuccino,BOGO,2/11/2024,2/12/2024,East,44.91
P1009,Espresso,Bundle,2/12/2024,2/13/2024,South,33.38
P1010,Espresso,BOGO,2/12/2024,2/13/2024,North,11.81
P1011,Espresso,Bundle,2/12/2024,2/13/2024,East,22.08
P1012,Latte,Free Sample,2/12/2024,2/13/2024,North,76.85
P1013,Latte,BOGO,2/12/2024,2/13/2024,North,60.01
P1014,Cappuccino,Bundle,2/12/2024,2/13/2024,South,55.66
P1015,Espresso,Free Sample,2/12/2024,2/13/2024,North,79.02
P1016,Espresso,BOGO,2/12/2024,2/13/2024,South,56.13
P1017,Espresso,Bundle,2/12/2024,2/13/2024,North,14.34
P1018,Cappuccino,Free Sample,2/12/2024,2/13/2024,East,47.95
P1019,Latte,Free Sample,2/12/2024,2/13/2024,South,26.71
P1020,Espresso,Free Sample,2/12/2024,2/13/2024,West,20.82
P1021,Cappuccino,Discount,2/12/2024,2/13/2024,South,68.67
P1022,Latte,Free Sample,2/12/2024,2/13/2024,West,88.03
P1023,Espresso,BOGO,2/12/2024,2/13/2024,East,72.29
P1024,Latte,Bundle,2/12/2024,2/13/2024,South,85.4
P1025,Espresso,Bundle,2/12/2024,2/13/2024,South,31.59
P1026,Espresso,Bundle,2/12/2024,2/13/2024,East,11.01
P1027,Mocha,Free Sample,2/12/2024,2/13/2024,West,12.53
P1028,Latte,BOGO,2/12/2024,2/13/2024,East,18.92
P1029,Mocha,BOGO,2/12/2024,2/13/2024,North,13.49
P1030,Espresso,BOGO,2/12/2024,2/13/2024,South,82.27
P1031,Cappuccino,Free Sample,2/12/2024,2/13/2024,East,61.37
P1032,Latte,Bundle,2/12/2024,2/13/2024,West,77.83
P1033,Espresso,Bundle,2/13/2024,2/14/2024,South,32.06
P1034,Cappuccino,Bundle,2/13/2024,2/14/2024,South,25.58
P1035,Mocha,BOGO,2/13/2024,2/14/2024,West,10.58
P1036,Mocha,BOGO,2/13/2024,2/14/2024,East,87.11
P1037,Cappuccino,Free Sample,2/13/2024,2/14/2024,West,66.03
P1038,Cappuccino,BOGO,2/13/2024,2/14/2024,North,50.45
P1039,Latte,Discount,2/13/2024,2/14/2024,West,32.94
P1040,Latte,BOGO,2/13/2024,2/14/2024,West,11.83
P1041,Latte,Free Sample,2/13/2024,2/14/2024,North,37.25
P1042,Espresso,Free Sample,2/13/2024,2/14/2024,South,38.92
P1043,Cappuccino,BOGO,2/13/2024,2/14/2024,West,15.44
P1044,Latte,BOGO,2/13/2024,2/14/2024,North,22.18
P1045,Mocha,Bundle,2/13/2024,2/14/2024,South,65.26
P1046,Espresso,BOGO,2/13/2024,2/14/2024,East,23.68
P1047,Latte,Free Sample,2/13/2024,2/14/2024,North,46.95
P1048,Mocha,Discount,2/13/2024,2/14/2024,South,59.91
P1049,Cappuccino,Free Sample,2/13/2024,2/14/2024,South,36.2
P1050,Cappuccino,Bundle,2/13/2024,2/14/2024,South,38.46
P1051,Cappuccino,Discount,2/13/2024,2/14/2024,North,10.77
P1052,Latte,Bundle,2/13/2024,2/14/2024,East,42.29
P1053,Espresso,Bundle,2/13/2024,2/14/2024,East,64.23
P1054,Cappuccino,BOGO,2/13/2024,2/14/2024,South,77.35
P1055,Espresso,Discount,2/13/2024,2/14/2024,West,66.67
P1056,Mocha,Bundle,2/13/2024,2/14/2024,East,54.93
P1057,Cappuccino,Bundle,2/14/2024,2/15/2024,South,54.02
P1058,Espresso,Bundle,2/14/2024,2/15/2024,South,81.81
P1059,Latte,BOGO,2/14/2024,2/15/2024,West,40.77
P1060,Latte,Discount,2/14/2024,2/15/2024,South,24.39
P1061,Cappuccino,BOGO,2/14/2024,2/15/2024,East,33.94
P1062,Cappuccino,Free Sample,2/14/2024,2/15/2024,North,23.95
P1063,Espresso,BOGO,2/14/2024,2/15/2024,South,29.2
P1064,Latte,Free Sample,2/14/2024,2/15/2024,West,57.29
P1065,Cappuccino,Discount,2/14/2024,2/15/2024,East,68.87
P1066,Cappuccino,Bundle,2/14/2024,2/15/2024,West,27.08
P1067,Espresso,Discount,2/14/2024,2/15/2024,East,69.2
P1068,Cappuccino,Bundle,2/14/2024,2/15/2024,West,52.24
P1069,Latte,Free Sample,2/14/2024,2/15/2024,West,48.7
P1070,Latte,Free Sample,2/14/2024,2/15/2024,South,43.82
P1071,Mocha,Free Sample,2/14/2024,2/15/2024,West,53.05
P1072,Latte,Bundle,2/14/2024,2/15/2024,East,70.27
P1073,Latte,Bundle,2/14/2024,2/15/2024,South,74.26
P1074,Mocha,Discount,2/14/2024,2/15/2024,East,12.07
P1075,Espresso,Discount,2/14/2024,2/15/2024,South,21.07
P1076,Latte,Discount,2/14/2024,2/15/2024,West,36.51
P1077,Espresso,Bundle,2/14/2024,2/15/2024,East,88.61
P1078,Espresso,Free Sample,2/14/2024,2/15/2024,North,18.03
P1079,Cappuccino,BOGO,2/14/2024,2/15/2024,South,27.86
P1080,Mocha,Discount,2/14/2024,2/15/2024,North,70.09
P1081,Cappuccino,BOGO,2/15/2024,2/16/2024,North,24.55
P1082,Cappuccino,BOGO,2/15/2024,2/16/2024,North,62.58
P1083,Latte,Bundle,2/15/2024,2/16/2024,South,38.5
P1084,Latte,BOGO,2/15/2024,2/16/2024,West,62.55
P1085,Cappuccino,Free Sample,2/15/2024,2/16/2024,West,43.26
P1086,Latte,Bundle,2/15/2024,2/16/2024,South,11.92
P1087,Espresso,Discount,2/15/2024,2/16/2024,East,35.7
P1088,Cappuccino,BOGO,2/15/2024,2/16/2024,West,73.95
P1089,Latte,Bundle,2/15/2024,2/16/2024,North,29.51
P1090,Latte,Free Sample,2/15/2024,2/16/2024,East,88.97
P1091,Espresso,Bundle,2/15/2024,2/16/2024,West,31.04
P1092,Mocha,Discount,2/15/2024,2/16/2024,West,34.88
P1093,Latte,BOGO,2/15/2024,2/16/2024,West,40.56
P1094,Cappuccino,Bundle,2/15/2024,2/16/2024,South,76.92
P1095,Espresso,Bundle,2/15/2024,2/16/2024,East,79.24
P1096,Mocha,Bundle,2/15/2024,2/16/2024,West,24.41
P1097,Cappuccino,BOGO,2/15/2024,2/16/2024,South,89.28
P1098,Mocha,Discount,2/15/2024,2/16/2024,East,26.55
P1099,Cappuccino,Bundle,2/15/2024,2/16/2024,South,33.77
P1100,Espresso,BOGO,2/15/2024,2/16/2024,North,24.92
P1101,Mocha,BOGO,2/15/2024,2/16/2024,North,42.01
P1102,Latte,Bundle,2/15/2024,2/16/2024,East,32.57
P1103,Latte,BOGO,2/15/2024,2/16/2024,North,32.96
P1104,Latte,Discount,2/15/2024,2/16/2024,West,47.14
P1105,Cappuccino,Discount,2/16/2024,2/17/2024,East,83.95
P1106,Mocha,BOGO,2/16/2024,2/17/2024,North,72.27
P1107,Latte,Free Sample,2/16/2024,2/17/2024,East,16.35
P1108,Mocha,Bundle,2/16/2024,2/17/2024,East,13.02
P1109,Mocha,Free Sample,2/16/2024,2/17/2024,West,10.07
P1110,Latte,BOGO,2/16/2024,2/17/2024,East,61.52
P1111,Latte,Bundle,2/16/2024,2/17/2024,East,70.93
P1112,Latte,Bundle,2/16/2024,2/17/2024,West,25.76
P1113,Espresso,Bundle,2/16/2024,2/17/2024,West,53.67
P1114,Mocha,BOGO,2/16/2024,2/17/2024,South,20.4
P1115,Espresso,Discount,2/16/2024,2/17/2024,West,69.68
P1116,Espresso,Discount,2/16/2024,2/17/2024,West,56.24
P1117,Mocha,Discount,2/16/2024,2/17/2024,South,88.04
P1118,Cappuccino,BOGO,2/16/2024,2/17/2024,East,86.01
P1119,Espresso,BOGO,2/16/2024,2/17/2024,North,61.32
P1120,Latte,Bundle,2/16/2024,2/17/2024,North,14.24
P1121,Espresso,Discount,2/16/2024,2/17/2024,West,13.63
P1122,Cappuccino,BOGO,2/16/2024,2/17/2024,North,88.8
P1123,Latte,BOGO,2/16/2024,2/17/2024,North,12.97
P1124,Latte,Free Sample,2/16/2024,2/17/2024,East,60.63
P1125,Espresso,Free Sample,2/16/2024,2/17/2024,North,53.47
P1126,Espresso,Bundle,2/16/2024,2/17/2024,East,65.96
P1127,Cappuccino,BOGO,2/16/2024,2/17/2024,West,11.72
P1128,Latte,Discount,2/16/2024,2/17/2024,South,57.51
P1129,Espresso,Bundle,2/17/2024,2/18/2024,East,45.79
P1130,Mocha,Bundle,2/17/2024,2/18/2024,North,34.33
P1131,Cappuccino,BOGO,2/17/2024,2/18/2024,North,15.96
P1132,Latte,BOGO,2/17/2024,2/18/2024,West,10.42
P1133,Cappuccino,Free Sample,2/17/2024,2/18/2024,North,21.02
P1134,Latte,BOGO,2/17/2024,2/18/2024,South,62.58
P1135,Cappuccino,Free Sample,2/17/2024,2/18/2024,South,38.41
P1136,Espresso,Discount,2/17/2024,2/18/2024,North,28.33
P1137,Espresso,Free Sample,2/17/2024,2/18/2024,South,50.41
P1138,Latte,Bundle,2/17/2024,2/18/2024,South,16.0
P1139,Mocha,Bundle,2/17/2024,2/18/2024,East,43.68
P1140,Cappuccino,Free Sample,2/17/2024,2/18/2024,East,37.71
P1141,Cappuccino,Bundle,2/17/2024,2/18/2024,South,80.32
P1142,Latte,Bundle,2/17/2024,2/18/2024,North,76.47
P1143,Cappuccino,BOGO,2/17/2024,2/18/2024,North,53.36
P1144,Cappuccino,Bundle,2/17/2024,2/18/2024,South,31.83
P1145,Mocha,Bundle,2/17/2024,2/18/2024,North,66.07
P1146,Latte,Free Sample,2/17/2024,2/18/2024,North,22.49
P1147,Latte,BOGO,2/17/2024,2/18/2024,South,68.75
P1148,Mocha,Discount,2/17/2024,2/18/2024,East,50.12
P1149,Espresso,Bundle,2/17/2024,2/18/2024,West,25.73
P1150,Cappuccino,Free Sample,2/17/2024,2/18/2024,East,75.53
P1151,Cappuccino,Bundle,2/17/2024,2/18/2024,North,41.02
P1152,Mocha,Discount,2/17/2024,2/18/2024,North,59.79
P1153,Mocha,Free Sample,2/18/2024,2/19/2024,East,47.99
P1154,Cappuccino,Bundle,2/18/2024,2/19/2024,North,57.28
P1155,Cappuccino,Free Sample,2/18/2024,2/19/2024,South,73.46
P1156,Mocha,Free Sample,2/18/2024,2/19/2024,South,60.08
P1157,Espresso,Free Sample,2/18/2024,2/19/2024,East,53.65
P1158,Espresso,Discount,2/18/2024,2/19/2024,North,35.62
P1159,Mocha,Discount,2/18/2024,2/19/2024,South,67.28
P1160,Latte,Bundle,2/18/2024,2/19/2024,West,82.81
P1161,Mocha,Free Sample,2/18/2024,2/19/2024,West,38.29
P1162,Espresso,BOGO,2/18/2024,2/19/2024,North,64.55
P1163,Latte,BOGO,2/18/2024,2/19/2024,West,10.88
P1164,Latte,Discount,2/18/2024,2/19/2024,North,45.68
P1165,Cappuccino,Discount,2/18/2024,2/19/2024,East,32.03
P1166,Latte,Discount,2/18/2024,2/19/2024,North,74.62
P1167,Cappuccino,Free Sample,2/18/2024,2/19/2024,South,14.65
P1168,Latte,Free Sample,2/18/2024,2/19/2024,West,58.78
P1169,Mocha,BOGO,2/18/2024,2/19/2024,South,70.16
P1170,Latte,Discount,2/18/2024,2/19/2024,North,81.34
P1171,Mocha,Bundle,2/18/2024,2/19/2024,West,30.61
P1172,Latte,Discount,2/18/2024,2/19/2024,South,77.75
P1173,Cappuccino,Free Sample,2/18/2024,2/19/2024,North,82.4
P1174,Latte,Bundle,2/18/2024,2/19/2024,North,73.69
P1175,Cappuccino,Free Sample,2/18/2024,2/19/2024,North,57.05
P1176,Latte,BOGO,2/18/2024,2/19/2024,West,43.05
P1177,Cappuccino,Discount,2/19/2024,2/20/2024,West,17.9
P1178,Latte,Free Sample,2/19/2024,2/20/2024,West,69.61
P1179,Latte,Free Sample,2/19/2024,2/20/2024,South,69.47
P1180,Mocha,BOGO,2/19/2024,2/20/2024,North,26.17
P1181,Mocha,Free Sample,2/19/2024,2/20/2024,South,40.03
P1182,Cappuccino,BOGO,2/19/2024,2/20/2024,North,63.32
P1183,Latte,Discount,2/19/2024,2/20/2024,North,39.94
P1184,Cappuccino,BOGO,2/19/2024,2/20/2024,South,57.79
P1185,Cappuccino,BOGO,2/19/2024,2/20/2024,East,82.58
P1186,Cappuccino,Discount,2/19/2024,2/20/2024,East,15.46
P1187,Cappuccino,Discount,2/19/2024,2/20/2024,West,58.02
P1188,Espresso,Free Sample,2/19/2024,2/20/2024,East,37.87
P1189,Cappuccino,Free Sample,2/19/2024,2/20/2024,East,58.02
P1190,Espresso,Free Sample,2/19/2024,2/20/2024,North,25.0
P1191,Latte,BOGO,2/19/2024,2/20/2024,North,46.33
P1192,Latte,Discount,2/19/2024,2/20/2024,East,50.44
P1193,Mocha,BOGO,2/19/2024,2/20/2024,South,18.06
P1194,Latte,Bundle,2/19/2024,2/20/2024,South,19.13
P1195,Espresso,BOGO,2/19/2024,2/20/2024,East,48.78
P1196,Latte,Free Sample,2/19/2024,2/20/2024,West,34.3
P1197,Cappuccino,BOGO,2/19/2024,2/20/2024,West,39.86
P1198,Cappuccino,BOGO,2/19/2024,2/20/2024,West,62.84
P1199,Espresso,Bundle,2/19/2024,2/20/2024,West,61.42
P1200,Latte,BOGO,2/19/2024,2/20/2024,North,63.31
P1201,Mocha,Bundle,2/20/2024,2/21/2024,East,27.65
P1202,Mocha,Discount,2/20/2024,2/21/2024,West,86.97
P1203,Cappuccino,Free Sample,2/20/2024,2/21/2024,South,30.94
P1204,Mocha,Free Sample,2/20/2024,2/21/2024,West,78.59
P1205,Mocha,Discount,2/20/2024,2/21/2024,South,64.44
P1206,Latte,Discount,2/20/2024,2/21/2024,East,33.13
P1207,Latte,Bundle,2/20/2024,2/21/2024,East,59.37
P1208,Espresso,Free Sample,2/20/2024,2/21/2024,East,11.31
P1209,Cappuccino,Free Sample,2/20/2024,2/21/2024,South,41.96
P1210,Mocha,Bundle,2/20/2024,2/21/2024,East,66.02
P1211,Cappuccino,BOGO,2/20/2024,2/21/2024,West,80.38
P1212,Mocha,Free Sample,2/20/2024,2/21/2024,West,78.63
P1213,Mocha,Discount,2/20/2024,2/21/2024,South,16.67
P1214,Latte,BOGO,2/20/2024,2/21/2024,East,56.37
P1215,Mocha,Discount,2/20/2024,2/21/2024,South,60.8
P1216,Mocha,Discount,2/20/2024,2/21/2024,North,18.66
P1217,Mocha,Discount,2/20/2024,2/21/2024,West,84.19
P1218,Latte,Discount,2/20/2024,2/21/2024,North,13.4
P1219,Mocha,Discount,2/20/2024,2/21/2024,North,59.02
P1220,Mocha,BOGO,2/20/2024,2/21/2024,North,87.88
P1221,Latte,BOGO,2/20/2024,2/21/2024,West,28.42
P1222,Cappuccino,Bundle,2/20/2024,2/21/2024,West,82.15
P1223,Latte,Bundle,2/20/2024,2/21/2024,North,86.73
P1224,Cappuccino,Free Sample,2/20/2024,2/21/2024,North,15.22
P1225,Latte,Bundle,2/21/2024,2/22/2024,East,64.35
P1226,Espresso,Free Sample,2/21/2024,2/22/2024,West,73.24
P1227,Mocha,Discount,2/21/2024,2/22/2024,West,56.6
P1228,Mocha,BOGO,2/21/2024,2/22/2024,East,47.42
P1229,Mocha,Free Sample,2/21/2024,2/22/2024,East,26.11
P1230,Latte,BOGO,2/21/2024,2/22/2024,North,66.89
P1231,Mocha,Bundle,2/21/2024,2/22/2024,West,43.26
P1232,Cappuccino,Discount,2/21/2024,2/22/2024,West,70.81
P1233,Latte,BOGO,2/21/2024,2/22/2024,East,48.48
P1234,Espresso,Bundle,2/21/2024,2/22/2024,West,33.5
P1235,Cappuccino,BOGO,2/21/2024,2/22/2024,West,88.81
P1236,Cappuccino,BOGO,2/21/2024,2/22/2024,North,87.12
P1237,Mocha,Discount,2/21/2024,2/22/2024,West,43.97
P1238,Cappuccino,BOGO,2/21/2024,2/22/2024,South,77.5
P1239,Espresso,Free Sample,2/21/2024,2/22/2024,East,73.75
P1240,Mocha,Free Sample,2/21/2024,2/22/2024,West,63.84
P1241,Mocha,BOGO,2/21/2024,2/22/2024,East,27.49
P1242,Cappuccino,Discount,2/21/2024,2/22/2024,West,85.84
P1243,Mocha,Discount,2/21/2024,2/22/2024,North,27.86
P1244,Cappuccino,Bundle,2/21/2024,2/22/2024,West,65.33
P1245,Latte,Free Sample,2/21/2024,2/22/2024,East,55.18
P1246,Latte,BOGO,2/21/2024,2/22/2024,South,85.94
P1247,Cappuccino,Bundle,2/21/2024,2/22/2024,South,89.03
P1248,Cappuccino,Free Sample,2/21/2024,2/22/2024,West,30.06
P1249,Latte,Bundle,2/22/2024,2/23/2024,South,67.38
P1250,Cappuccino,BOGO,2/22/2024,2/23/2024,South,15.09
P1251,Mocha,Discount,2/22/2024,2/23/2024,West,39.85
P1252,Espresso,Discount,2/22/2024,2/23/2024,West,46.66
P1253,Cappuccino,Free Sample,2/22/2024,2/23/2024,North,70.0
P1254,Espresso,Free Sample,2/22/2024,2/23/2024,West,55.5
P1255,Latte,BOGO,2/22/2024,2/23/2024,East,86.63
P1256,Cappuccino,Discount,2/22/2024,2/23/2024,South,16.65
P1257,Mocha,Bundle,2/22/2024,2/23/2024,West,34.69
P1258,Mocha,Bundle,2/22/2024,2/23/2024,West,34.62
P1259,Latte,Free Sample,2/22/2024,2/23/2024,East,75.94
P1260,Cappuccino,Bundle,2/22/2024,2/23/2024,South,13.86
P1261,Espresso,Free Sample,2/22/2024,2/23/2024,North,24.77
P1262,Mocha,Discount,2/22/2024,2/23/2024,West,38.74
P1263,Espresso,Free Sample,2/22/2024,2/23/2024,East,70.27
P1264,Latte,BOGO,2/22/2024,2/23/2024,North,41.11
P1265,Mocha,Bundle,2/22/2024,2/23/2024,West,75.54
P1266,Cappuccino,Discount,2/22/2024,2/23/2024,South,73.16
P1267,Mocha,Discount,2/22/2024,2/23/2024,West,82.98
P1268,Latte,Free Sample,2/22/2024,2/23/2024,East,52.65
P1269,Latte,Discount,2/22/2024,2/23/2024,West,42.92
P1270,Latte,Discount,2/22/2024,2/23/2024,West,28.51
P1271,Latte,BOGO,2/22/2024,2/23/2024,South,45.84
P1272,Latte,Bundle,2/22/2024,2/23/2024,West,49.69
P1273,Mocha,Free Sample,2/23/2024,2/24/2024,West,86.92
P1274,Cappuccino,Discount,2/23/2024,2/24/2024,South,63.6
P1275,Latte,BOGO,2/23/2024,2/24/2024,North,63.43
P1276,Espresso,Bundle,2/23/2024,2/24/2024,East,17.88
